Rank,Player,Team,POS,GP,MIN,PTS,RPG,APG
1,Giannis Antetokounmpo,MIL,PF,5,37.6,33.0,15.4,6.6
2,Luka Doncic,LAL,PG,5,41.6,30.2,7.0,5.8
3,Jalen Brunson,NY,PG,15,38.3,29.9,3.5,7.3
4,Donovan Mitchell,CLE,SG,9,32.0,29.6,4.7,3.9
5,Shai Gilgeous-Alexander,OKC,PG,15,36.7,29.5,5.6,6.9
6,Paolo Banchero,ORL,PF,5,39.4,29.4,8.4,4.2
7,Jayson Tatum,BOS,SF,8,40.3,28.1,11.5,5.4
8,Nikola Jokic,DEN,C,14,40.2,26.2,12.7,8.0
9,Franz Wagner,ORL,SF,5,39.0,25.8,4.8,5.6
10,Anthony Edwards,MIN,SG,14,39.0,25.8,7.9,5.7
11,LeBron James,LAL,SF,5,40.8,25.4,9.0,5.6
12,Kawhi Leonard,LAC,SF,7,37.9,25.0,7.6,4.7
13,Cade Cunningham,DET,PG,6,41.3,25.0,8.3,8.7
14,Stephen Curry,GS,PG,8,35.1,22.6,5.3,5.1
15,Jaylen Brown,BOS,SG,11,36.5,22.1,7.1,3.9
16,Jamal Murray,DEN,PG,14,41.3,21.8,4.9,5.2
17,Julius Randle,MIN,PF,14,35.9,21.6,5.9,5.1
18,Karl-Anthony Towns,NY,C,15,35.2,21.1,11.3,1.1
19,Alperen Sengun,HOU,C,7,36.6,20.9,11.9,5.3
20,Jalen Williams,OKC,F,15,34.7,20.5,5.6,5.3
21,Pascal Siakam,IND,PF,13,33.2,20.1,5.8,3.2
22,Jimmy Butler III,GS,SF,11,36.1,19.2,6.6,5.2
23,Derrick White,BOS,PG,11,37.7,18.8,5.1,3.5
24,James Harden,LAC,PG,7,39.4,18.7,5.4,9.1
25,Fred VanVleet,HOU,PG,7,40.0,18.7,4.1,4.4
26,Tyrese Haliburton,IND,C,13,35.1,18.5,5.5,9.4
27,Ivica Zubac,LAC,PF,7,36.6,17.4,10.1,2.3
28,Evan Mobley,CLE,C,8,32.1,17.1,8.1,1.6
29,Myles Turner,IND,PF,13,31.3,16.5,5.5,1.5
30,Aaron Gordon,DEN,G,14,37.3,16.2,7.6,2.7
31,Chet Holmgren,OKC,SF,15,29.5,16.1,8.7,1.2
32,Norman Powell,LAC,SF,7,34.0,16.0,2.4,2.4
33,OG Anunoby,NY,F,13,39.6,15.8,4.7,1.3
34,Mikal Bridges,NY,PF,15,40.3,15.7,4.9,2.8
35,Amen Thompson,HOU,PF,7,33.0,15.7,6.9,3.3
36,Jaden McDaniels,MIN,SF,14,34.0,15.4,5.6,1.6
37,Jonathan Kuminga,GS,PG,8,23.4,15.3,2.5,1.3
38,Aaron Nesmith,IND,PG,13,30.2,15.1,6.2,1.3
39,Andrew Nembhard,IND,SG,9,33.7,14.0,3.5,5.3
40,Jarrett Allen,CLE,SG,14,29.0,13.4,8.4,1.3
41,Christian Braun,DEN,G,12,38.9,12.6,6.4,2.4
42,Buddy Hield,GS,C,9,27.3,12.5,3.5,1.8
43,Josh Hart,NY,C,15,36.7,12.0,8.7,4.9
44,Payton Pritchard,BOS,G,11,27.5,11.9,2.3,1.5
45,Russell Westbrook,DEN,PG,13,24.1,11.7,3.7,2.6
46,Ty Jerome,CLE,PG,11,21.2,11.7,2.4,3.6
47,Max Strus,CLE,SG,9,28.1,11.7,5.7,3.9
48,Brandin Podziemski,GS,SG,9,32.1,11.3,5.0,3.1
49,Naz Reid,MIN,G,12,25.1,10.4,4.7,1.8
50,Isaiah Hartenstein,OKC,C,14,24.3,9.3,8.1,2.3
